system:time_start,MVI
2019-01-31,1.2852874423066194
2019-02-28,2.291351888938419
2019-03-31,2.018385392477601
2019-04-30,1.8962715633598553
2019-05-31,-0.3146841370218114
2019-06-30,1.9912579529154633
2019-07-31,3.105678740259321
2019-08-31,2.916958137071519
2019-09-30,2.983044497767152
2019-10-31,2.9776531590165285
2019-11-30,2.4245933473205405
2019-12-31,1.0561339154581406
2020-01-31,1.0075077932533765
2020-02-29,1.7420589508082076
2020-03-31,1.2461914254831126
2020-04-30,1.7412802303633272
2020-05-31,1.471882048230469
2020-06-30,2.1190036038422373
2020-07-31,2.8220940645556603
2020-08-31,2.5159945811254723
2020-09-30,2.259433502287441
2020-10-31,2.2969730318223918
2020-11-30,1.5346835399698582
2020-12-31,2.3813742544153875
