system:time_start,MangroveIndex
1.54744027443E12,0.1515654709379601
1.548822670439E12,0.22023874903640767
1.550205068509E12,0.19513603523170464
1.551587464322E12,0.16117086850277354
1.552969859204E12,0.21814917133641337
1.554352255719E12,0.016175601112747386
1.555734649633E12,0.24510612487630815
1.557117052155E12,0.22252730656256003
1.558499462459E12,0.041220343741348336
1.561264276116E12,0.20363862487863515
1.562646679836E12,0.13828475985149102
1.564029084166E12,0.2428935387355553
1.565411490478E12,0.1663792051966752
1.566793894829E12,0.4042471237713992
1.57094110729E12,0.26476749160809404
1.572323507684E12,0.2907326371163127
1.573705905152E12,0.05715791006927299
1.575088303232E12,0.061782989880121625
1.576470701574E12,0.0772861237604821
1.577853097149E12,0.0824569327886856
1.579235494047E12,0.07496711892252932
1.580617888778E12,0.02777836906216476
1.582000285334E12,0.04434333516238644
1.583382680111E12,0.06806522268390698
1.584765072412E12,0.1399007639683404
1.586147463472E12,0.09361298175021335
1.587529856791E12,-0.02568475562374391
1.588912247552E12,0.18747652268942303
1.590294650901E12,0.011939610987861069
1.591677059212E12,0.06974886845921399
1.593059468059E12,0.1676106047150599
1.59444187489E12,0.4211301369732431
1.59582427976E12,0.19531618594272307
1.597206682824E12,0.20359802367985422
1.598589091484E12,0.17539566784280503
1.599971498042E12,0.20715583731083717
1.601353902439E12,0.2389645681870586
1.602736304191E12,0.1867731890682754
1.604118703207E12,0.1525416887687134
1.605501101431E12,0.21931230693346626
1.606883505065E12,0.20867737785281373
1.608265904385E12,0.14978789647933383
