system:time_start,MVI
1.546663958E12,2.709676330403746
1.547095962E12,2.865372939806686
1.547527959E12,-4.814870043465731
1.547959963E12,2.6117140574553983
1.54839196E12,2.2068723402264334
1.548823964E12,2.132959029413185
1.54925596E12,2.553255918184855
1.549687963E12,2.090891863149868
1.55011996E12,2.495347750937612
1.550551963E12,2.3612360848371625
1.550983959E12,1.9560278275825969
1.551415962054E12,1.6754219910215744
1.551847958E12,2.015002433663993
1.552279961E12,
1.552711960347E12,2.385476251110499
1.55314396E12,2.3289267113492325
1.553575962E12,2.558672258961373
1.554007965E12,0.9649579756680642
1.554439964E12,
1.554871968E12,2.1812753367311353
1.555303966E12,2.2182757993226314
1.555735969E12,2.524060250431428
1.556167967E12,0.5366481970536162
1.556599971E12,2.344256659845309
1.557031967E12,-10.459233103970027
1.557463972E12,2.2484476417830606
1.557895967E12,0.12191061822869531
1.558327972E12,
1.558759966E12,
1.559191972E12,3.039430827381512
1.559623965E12,-2.6813147012546383
1.560055971E12,
1.560487966E12,3.29769961022293
1.560919971E12,3.0473886244141983
1.561351967E12,4.114717506590556
1.561783972216E12,
1.562215968652E12,
1.56264797252E12,
1.563079968885E12,
1.563511972413E12,2.8452729308468436
1.563943968733E12,
1.564375971871E12,
1.564807968196E12,
1.565239970948E12,
1.565671967199E12,
1.566103969642E12,
1.566535965809E12,
1.566967967897E12,
1.567399964037E12,
1.567831965729E12,
1.568263962034E12,
1.56869596314E12,3.0016770093245855
1.569127964017E12,
1.569559963826E12,
1.569991965549E12,
1.570423964642E12,
1.570855966539E12,2.9456887187007657
1.571287964955E12,3.232929134103428
1.571719966976E12,3.2034648403725265
1.572151964671E12,2.558865827176436
1.572583966858E12,5.271523623362052
1.573015963733E12,
1.573447966077E12,1.4436538024208485
1.573879962217E12,0.9660561985590739
1.574311964665E12,
1.575175962632E12,1.3202825622776435
1.575607957752E12,1.1378790121539821
1.57603995997E12,-0.4930081855850049
1.576471958407E12,1.2057902553343416
1.576903957812E12,
1.577335958812E12,1.4697759610452394
1.577767958467E12,1.414434938458249
1.578199958639E12,1.548631343425009
1.578631958115E12,1.4214912615371498
1.579063957942E12,1.2805519389440487
1.579495957432E12,-0.5037661254587982
1.579927956719E12,1.1749320930456928
1.580359956293E12,
1.580791957282E12,1.0714802335823579
1.581223956042E12,-0.08950718223155746
1.581655959194E12,1.078354489505316
1.58208795781E12,
1.58251996059E12,4.388602942184278
1.582951959067E12,1.269952482730915
1.583383956511E12,
1.583815959818E12,1.3345599704980946
1.58424796173E12,1.0634913046559746
1.584679960041E12,1.4922985092285357
1.585111961559E12,1.0875633740811719
1.585543959758E12,1.1969793870295145
1.585975960842E12,1.9613648423432184
1.586407961581E12,1.543559592502118
1.586839959604E12,1.563082473209355
1.587271964221E12,1.6829575605785931
1.587703958126E12,
1.588135966391E12,1.9034933106304466
1.588567960723E12,2.309136693897761
1.588999968027E12,2.1016426438953086
1.589431962808E12,1.2565108338118272
1.589863969152E12,
1.590295964428E12,0.8419069381478074
1.590727969829E12,
1.591159965516E12,
1.591591970022E12,2.134842387501632
1.592023966109E12,
1.592455969727E12,
1.592887966268E12,1.8699118412724236
1.59331996903E12,3.0006518033901544
1.59375196596E12,
1.594183967942E12,
1.594615965259E12,
1.595047968663E12,
1.595479965772E12,
1.595911969381E12,
1.596343966678E12,
1.596775969702E12,
1.597207967161E12,
1.597639969544E12,
1.598071967251E12,
1.59850396897E12,
1.598935966896E12,
1.599367967996E12,
1.599799966061E12,2.2354037568588843
1.600231968133E12,2.231886033760805
1.600663965848E12,
1.601095969087E12,
1.601527966937E12,
1.602391967429E12,
1.60282396941E12,2.235250617984387
1.603255967331E12,
1.603687969005E12,2.3762776716148633
1.604119966576E12,2.3962878876854976
1.604551968432E12,2.655794001129465
1.604983965084E12,2.13671726671086
1.605415966373E12,2.2469702865218384
1.60584796432E12,-1.0216853010453508
1.606279965038E12,
1.606711963231E12,2.4674283590877524
1.607143962097E12,2.4654904166669316
1.607575961229E12,2.933099771405028
1.608007961162E12,2.156651701132636
1.608439956052E12,2.1346473212641333
1.609303961756E12,2.2169820616082077
1.609735964131E12,2.0009718484756074
1.610167962969E12,1.854299758815932
1.610599964564E12,-2.7732534908577096
